0,492.41,340.24,251.46,258.64,247.51,254.4,254.96,254.97,254.96,326.62
0.01,499.59,248.26,243.91,244.62,247.71,244.26,244.29,244.09,244.28,247.56
0.02,508.67,247.35,243.71,244.08,244.73,243.87,243.53,243.7,243.58,244.25
0.03,515.27,247.15,243.88,243.88,244.92,244.03,243.8,244.06,245.69,244.04
0.04,521.38,247.2,244.01,243.85,247.2,247.08,245.15,244.02,247.08,244.2
0.05,526.81,240.31,244.76,246.68,244.29,248.08,246.73,246.88,247.71,246.87
0.06,531.56,375.58,247.09,247.17,395.98,251.77,230.07,236.58,236.78,246.99
0.07,535.51,387.56,245.44,347.22,401.3,246.89,557.71,501.08,556.98,348.56
0.08,540.05,396.11,324.88,346,410.17,441.1,557.81,511.09,565.35,359.71
0.09,539.77,406.39,332.3,345.03,416.31,440.36,553.64,523.47,573.19,368.68
0.1,543.54,418.66,341.12,343.29,422.58,440.09,548.64,534.86,577.8,380.98
0.11,541.98,428.43,351.15,341.73,431.42,439.16,542.05,541.84,582.87,390.52
0.12,543.69,438.15,359.98,340.27,437.96,438.79,538.75,549.05,586.57,396.73
0.13,539.96,448.64,371.8,339.68,444.31,438.49,532.12,558.55,587.38,409.47
0.14,540.27,457.43,381.96,339.74,450.71,439.09,523.58,559.74,587.59,420.1
0.15,535.65,466,392.02,341.04,456.72,442.38,513.87,565.17,586.62,430.6
0.16,532.12,473.21,398.9,343.04,462.82,441.85,509.3,566.98,584.24,442.7
0.17,528.06,480.59,408.75,345.74,467.98,446.11,498.47,572.9,580.6,450.55
0.18,523.52,486.72,421.36,348.67,474.98,449.16,490,570.33,576.09,461.99
0.19,518.21,491.92,431.5,355.39,477.62,452.55,481.75,573.51,570.78,470.92
0.2,512.85,497,441.49,359.97,484.36,456.24,473.16,569.52,564.14,479.88
0.21,506.27,499.97,451.14,365.11,488.02,460.68,465.75,569.86,557.38,488.37
0.22,500,502.73,460.24,370.36,491.4,465.34,458.49,566.73,546.62,498.03
0.23,492.88,504.2,471.1,376.35,493.84,469.69,449.6,563.22,540.86,504.65
0.24,486.21,505.04,478.75,382.68,496.22,474.97,443.01,554.9,528.9,510.64
0.25,479.17,504.88,485.69,387.33,497.57,480.71,436.61,549.61,520.17,515.6
0.26,472.19,503.4,492.26,393.55,497.77,485.59,432,542.8,509.69,519.46
0.27,462.77,501.54,497.12,399.21,497.84,492.85,426.84,535.44,498.72,522.83
0.28,455.63,498.19,501.49,406.57,497.4,498.37,423.2,527.79,488.57,525.62
0.29,449.06,494.16,507.37,414.12,496.54,503.7,419.55,519.49,478.48,526.93
0.3,442.64,489.39,507.09,421.61,494.31,509.02,417.8,509.85,465.92,527.71
0.31,436.57,484.66,510.81,429.87,492.14,514.39,416.13,501.5,455.8,526.58
0.32,430.8,476.21,511.42,436.44,489.51,519.45,415.51,492.71,446.66,525.05
0.33,425.72,469.19,508.26,442.66,485.94,523.95,415.79,480.86,437.41,522.15
0.34,421.64,461.71,508.64,448.59,482.01,528.32,416.53,471.28,429.09,519.26
0.35,415.09,454.91,506.26,453.77,478.21,532.18,418.31,462.53,421.1,514.88
0.36,411.69,447.5,502.63,458.84,471.54,535.47,420.96,453.3,413.67,509.81
0.37,409.41,438.45,496.35,463.25,465.79,538.67,424.5,444.87,405.88,504.06
0.38,407.38,430.22,490.86,466.69,460.64,541.05,428.54,436.19,403.42,497.88
0.39,406.43,421.53,483.72,470.26,455.32,543.85,433.28,428,399.72,488.65
0.4,408.34,413.45,477.39,472.81,449.81,544.86,438.5,420.46,396.66,480.15
0.41,406.47,405.03,469.29,474.26,444.3,547.7,444.66,413.9,394.84,472.09
0.42,407.67,397.72,461.48,475.21,438.79,547.22,450.92,409.05,393.9,463.64
0.43,408.69,392.95,450.93,475.48,433.25,547.98,457.71,404.24,393.57,455.15
0.44,411.4,386.03,442.16,475.03,427.89,547.01,466.79,400.85,394.91,447.07
0.45,414.1,379.2,433.17,474.12,422.66,545.63,474.54,398.45,394.42,438.82
0.46,420.68,373.49,424.42,472.32,418.24,544.28,482.04,397.61,398.95,430.6
0.47,425.1,367.89,415.26,469.83,411.4,542.84,489.93,396.48,400.85,419.96
0.48,429.83,363.2,406.13,466.59,407.21,540.6,497.93,396.19,405.8,411.97
0.49,435.26,358.82,398.62,463.26,403.25,538.61,505.08,396.91,412.7,404.43
0.5,441.27,355.17,389.99,459,402.8,534.79,512.46,398.99,418.85,397.88
0.51,447.23,351.87,385.35,454.44,399.95,531.18,521.81,400.6,428.65,393.07
0.52,453.49,348.75,375.16,449.08,398.05,527.64,526.01,404.8,436.63,388.12
0.53,460.49,347.59,368.57,444.02,396.02,523.51,535.13,409.97,445.27,382.62
0.54,467.73,347.66,362.3,438.19,395.32,519.51,541.73,414.78,454.89,378.66
0.55,476.32,348.83,356.71,430.41,394.74,514.51,546.43,421.07,464.28,374.55
0.56,483.41,350.27,351.8,424.42,394.66,509.26,552.2,427.88,474.06,371.93
0.57,490.15,352.8,347.79,418.02,395.33,506.22,556.01,434.91,483.47,369.53
0.58,496.46,355.77,344.22,411.78,396.11,501.27,559.81,445.27,496.21,368.82
0.59,503.25,360.01,341.88,405.76,397.58,497.38,562.33,453.51,505.84,368.18
0.6,509.29,364.74,340.75,401.46,399.75,492.81,564.13,461.67,515.22,368.76
0.61,515.28,370.15,338.62,395.15,402.74,489.04,565.45,470.33,525.26,370.44
0.62,520.11,376.41,338.88,391.64,403.11,485.06,566.14,479.79,532.98,372.39
0.63,524.8,383.71,342.02,387.47,406.46,481.41,565.82,489.27,543.67,375.41
